ProdId,SaledQte,PurchasedQte,diff
476,1.045138,3.111111,2.0659730000000005
477,1.0,1.25,0.25
478,1.0,1.0,0.0
493,1.0,1.294117,0.29411699999999996
500,1.0,1.0,0.0
522,1.640326,11.283018,9.642692
523,1.688841,19.888888,18.200047
524,1.474308,10.971428,9.497119999999999
529,1.110671,7.175,6.064329
537,1.077922,1.272727,0.1948049999999999
538,1.083333,2.0,0.9166669999999999
539,1.033509,7.5,6.4664909999999995
544,1.083333,3.054794,1.9714609999999997
545,1.15909,3.597938,2.438848
546,1.086956,3.137254,2.0502979999999997
547,1.104166,4.698924,3.5947579999999997
549,1.285714,2.222222,0.9365079999999999
550,1.119402,1.777777,0.6583749999999999
553,1.25,1.857142,0.6071420000000001
581,1.18421,2.51282,1.32861
583,1.302158,3.529411,2.227253
590,1.0,1.142857,0.142857
599,1.354838,4.227272,2.872434
602,2.555555,8.461538,5.905982999999999
604,1.088452,5.273809,4.185357
605,1.042056,2.547368,1.505312
609,1.092105,1.298507,0.20640199999999997
610,4.966666,30.188679,25.222013
612,2.665432,11.373056,8.707624
615,1.012195,1.561403,0.5492080000000001
616,1.0,1.170731,0.17073099999999997
620,1.18617,2.22826,1.0420900000000002
621,1.157205,3.1,1.942795
625,1.025974,3.30693,2.2809559999999998
626,1.0,1.357142,0.35714200000000007
627,1.0,1.0,0.0
630,1.053313,5.7,4.646687
632,1.041884,2.859154,1.8172700000000002
633,2.875,13.571428,10.696428
635,1.016759,2.193181,1.176422
636,1.0,1.21875,0.21875
642,1.525423,3.464285,1.9388619999999999
643,1.15,1.452631,0.3026310000000001
644,1.048076,1.549295,0.5012190000000001
645,1.080508,2.5,1.419492
647,1.015772,4.616438,3.6006659999999995
648,1.120879,1.590909,0.47002999999999995
735,1.047619,1.181818,0.13419899999999996
738,1.0,1.0,0.0
747,1.0,1.333333,0.3333330000000001
753,1.0,1.65,0.6499999999999999
754,1.0,1.0,0.0
771,1.0,1.090909,0.0909089999999999
778,1.0,1.166666,0.16666599999999998
785,1.0,1.0,0.0
786,1.085753,5.605633,4.519880000000001
787,1.095238,3.472727,2.3774889999999997
788,1.119891,5.1875,4.067609
789,1.053793,6.471074,5.417281
790,1.043062,2.237623,1.1945610000000002
792,1.0,1.129032,0.12903200000000004
793,1.088888,3.35,2.261112
794,1.157407,3.325,2.167593
795,1.065934,1.724137,0.6582030000000001
796,1.04301,1.434782,0.391772
798,1.070312,2.869565,1.7992530000000002
799,1.010101,2.885714,1.8756130000000002
811,2.7,10.666666,7.966665999999999
812,1.043859,2.863636,1.819777
813,1.053398,2.06422,1.010822
814,1.059459,2.131868,1.072409
816,1.0,1.490384,0.49038399999999993
817,1.13669,3.134615,1.9979250000000002
826,1.0106,11.918367,10.907767
828,1.0401,3.231343,2.191243
830,1.095238,2.0,0.9047620000000001
833,1.0,1.272727,0.27272699999999994
842,1.069444,3.0,1.930556
843,1.210937,3.17647,1.9655330000000002
846,1.12844,2.931818,1.8033779999999997
853,1.241496,7.7,6.4585040000000005
854,1.377398,10.092307,8.714909
856,1.181415,7.833333,6.651917999999999
866,1.142857,1.111111,-0.03174600000000005
868,1.0,1.894736,0.894736
869,1.096,2.87037,1.7743699999999998
871,1.018181,2.0,0.981819
876,1.0,1.826086,0.8260860000000001
887,1.0,1.058823,0.05882300000000007
888,1.111876,9.034013,7.922136999999999
899,1.008547,3.666666,2.658119
900,1.0,1.75,0.75
918,1.06,1.209302,0.14930200000000005
923,1.0,1.0,0.0
925,1.044943,1.220779,0.1758360000000001
929,1.160407,30.020408,28.860001
931,1.074534,3.103448,2.0289140000000003
993,3.0,10.0,7.0
995,1.021691,3.639097,2.617406
996,1.327944,9.177419,7.849475
997,1.026755,2.613445,1.58669
1004,1.022471,1.949494,0.9270230000000002
1007,1.284848,15.224806,13.939957999999999
1027,1.241935,2.453125,1.21119
1029,2.416058,15.0,12.583942
1032,2.0,9.75,7.75
1033,1.0625,1.56,0.49750000000000005
1034,1.058823,1.193548,0.13472499999999998
1035,1.604166,2.333333,0.7291670000000001
