ProdId,QuantityAVG
102,1.000000
210,1.000000
216,15.000000
219,1.000000
225,1.000000
226,4.000000
236,1.000000
238,1.000000
250,1.000000
251,1.000000
252,1.000000
254,1.000000
273,1.000000
293,1.000000
326,3.000000
367,1.000000
387,1.000000
398,1.000000
405,1.000000
410,1.000000
411,2.000000
417,1.666666
418,3.000000
419,4.000000
425,5.000000
432,1.000000
442,1.000000
443,1.000000
444,1.000000
446,1.000000
448,2.000000
450,1.000000
454,1.000000
477,1.000000
478,1.000000
486,1.000000
524,3.000000
525,8.000000
538,1.000000
546,2.000000
553,3.000000
601,1.000000
607,6.000000
614,3.000000
631,2.000000
649,1.000000
719,4.000000
737,1.000000
771,1.000000
795,1.000000
807,1.000000
859,1.000000
918,1.000000
983,1.000000
993,5.000000
1026,1.000000
1031,1.000000
1032,8.000000
1067,1.000000
1068,2.000000
1071,2.000000
1094,1.000000
1098,2.000000
1184,1.000000
1193,1.000000
1195,2.000000
1196,1.000000
1203,1.000000
1217,1.000000
1275,1.000000
1276,1.000000
1281,1.000000
1282,4.000000
1283,3.000000
1301,1.500000
1366,3.000000
1371,1.000000
1378,1.000000
1388,3.000000
1399,1.000000
1419,1.000000
1434,1.000000
1435,1.000000
1482,1.000000
1490,6.000000
1506,1.000000
1519,1.000000
1527,6.000000
1562,7.500000
1563,1.500000
1567,5.000000
1576,16.000000
1593,1.000000
1594,1.000000
1598,1.000000
1680,1.000000
1682,1.000000
1726,1.000000
1730,1.000000
1732,1.000000
1750,1.000000
1751,1.000000
1780,1.000000
1793,1.000000
1796,1.000000
1834,2.000000
1835,1.000000
1841,1.000000
1842,1.000000
1843,1.000000
1853,3.000000
1854,1.000000
1885,3.000000
1944,1.000000
1967,1.000000
2032,3.000000
2085,2.000000
2097,1.000000
2117,1.000000
2138,2.000000
2140,1.000000
2177,2.000000
2181,1.000000
2182,1.000000
2187,1.000000
2188,1.000000
2191,1.000000
2197,1.000000
2198,1.000000
2266,3.000000
2284,1.000000
2285,1.000000
2297,1.000000
2299,1.000000
2363,1.000000
2389,1.000000
2414,1.000000
2431,2.000000
2443,1.000000
2444,1.000000
2483,5.000000
2537,1.000000
2549,1.000000
2554,1.000000
2559,1.000000
2589,2.000000
2595,2.000000
2606,5.000000
2611,1.000000
2633,3.000000
2638,1.000000
2639,2.000000
2642,1.000000
2649,1.000000
2650,1.000000
2677,1.000000
2684,1.000000
2686,1.000000
2727,1.000000
2813,1.000000
2822,1.000000
2832,1.000000
2856,1.000000
2891,1.000000
2925,1.000000
2956,1.000000
2961,1.000000
2975,1.000000
2984,1.000000
3012,1.000000
3015,3.000000
3016,1.000000
3017,2.000000
3022,1.000000
3026,1.000000
3030,4.000000
3032,2.500000
3035,2.000000
3036,1.000000
3056,1.000000
3069,1.000000
3091,2.000000
3114,1.000000
3129,2.000000
3131,1.000000
3160,1.000000
3176,2.000000
3201,1.000000
3216,4.000000
3223,1.000000
3240,1.000000
3241,1.000000
3257,1.000000
3265,1.000000
3275,1.000000
3279,1.000000
3284,1.000000
3285,2.000000
3287,3.000000
3301,2.000000
3314,2.000000
3316,1.000000
3335,1.000000
3355,1.000000
3358,9.500000
3430,1.000000
3501,1.000000
3505,2.500000
3515,2.000000
3516,1.000000
3517,2.000000
3542,1.000000
3550,1.000000
3558,1.000000
3564,1.000000
3592,3.000000
3602,1.000000
3634,1.000000
3635,7.000000
3654,2.000000
3695,1.000000
3700,19.000000
3774,9.000000
3795,3.000000
3844,1.333333
3858,7.000000
3876,2.000000
3904,6.000000
3906,1.000000
3911,2.000000
3912,1.000000
3921,1.000000
3929,1.000000
3930,1.000000
3954,1.000000
3978,1.000000
3986,1.000000
4039,3.000000
4042,1.000000
4058,1.000000
4066,2.000000
4071,1.000000
4086,1.000000
4098,8.000000
4156,2.000000
4170,1.000000
4194,2.000000
4216,1.000000
4217,1.000000
4221,1.000000
4318,1.000000
4344,1.000000
4408,1.000000
4409,1.000000
4415,1.000000
4431,1.000000
4439,1.000000
4441,2.000000
4591,1.000000
4592,19.000000
4595,1.000000
4596,1.000000
4597,1.000000
4599,1.000000
4618,2.000000
4649,2.000000
4654,1.000000
4679,1.000000
4683,1.000000
4689,2.000000
4690,1.000000
4777,8.000000
4783,1.000000
4794,1.000000
4813,3.000000
4858,1.000000
4902,2.000000
4914,2.000000
4921,1.000000
4924,1.000000
4926,1.000000
4946,1.500000
4953,1.000000
4966,1.000000
4967,1.000000
4968,27.000000
4971,1.000000
4984,2.000000
4986,1.000000
5026,1.000000
5027,1.000000
5030,3.000000
5031,3.000000
5032,5.000000
5048,5.000000
5086,1.000000
5119,2.000000
5129,2.000000
5131,2.000000
5154,3.000000
5194,2.000000
5207,1.000000
5214,1.000000
5217,2.000000
5219,52.000000
5224,2.000000
5225,1.000000
5227,3.000000
5237,1.000000
5241,1.000000
5246,1.000000
5247,2.000000
5255,1.000000
5257,2.000000
5294,1.000000
5315,1.000000
5346,1.000000
5353,1.000000
5354,3.000000
5355,1.000000
5369,1.000000
5384,4.000000
5395,1.000000
5422,1.000000
5437,1.000000
5463,1.000000
5469,300.000000
5472,1.000000
5484,1.000000
5486,1.000000
5527,1.000000
5557,1.000000
5558,1.000000
5578,1.000000
5586,1.000000
5597,1.000000
5598,2.000000
5601,1.000000
5623,18.000000
5628,2.000000
5629,2.000000
5638,2.000000
5651,1.000000
5661,1.000000
5674,1.000000
5683,1.000000
5691,4.000000
5703,1.000000
5704,1.000000
5716,2.000000
5720,1.000000
5727,1.000000
5735,7.000000
5745,1.000000
5751,1.000000
5752,5.000000
5760,1.000000
5767,1.500000
5768,2.000000
5785,1.000000
5812,1.000000
5839,1.000000
5858,1.000000
5870,10.000000
5896,2.000000
5899,2.000000
5900,1.000000
5902,1.000000
5916,2.000000
5924,1.000000
5966,1.000000
5967,1.000000
5968,1.000000
5974,6.250000
5977,4.000000
5978,2.000000
5992,2.000000
5994,1.000000
5998,1.000000
6001,1.000000
6003,1.000000
6011,4.000000
6019,1.000000
6038,1.000000
6044,1.000000
6048,2.000000
6051,1.000000
6056,1.000000
6057,1.000000
6062,2.000000
6096,1.000000
6097,1.000000
6102,1.000000
6113,1.000000
6116,3.000000
6120,4.000000
6126,9.000000
6167,1.000000
6197,1.000000
6219,8.000000
6227,2.000000
6238,3.000000
6247,6.000000
6258,1.000000
6279,1.000000
6325,8.000000
6333,1.000000
6351,1.000000
6355,1.000000
6356,1.000000
6357,1.000000
6361,1.000000
6400,1.000000
6410,1.000000
6426,1.000000
6466,1.000000
6469,2.000000
6470,4.000000
6476,7.000000
6479,3.000000
6482,2.000000
6486,1.000000
6487,1.000000
6528,1.000000
6532,5.000000
6536,1.000000
6596,1.000000
6597,1.000000
6598,1.000000
6614,1.000000
6629,1.000000
6672,2.000000
6673,1.000000
6686,2.000000
6718,1.000000
6752,1.000000
6762,1.000000
6836,1.000000
6849,1.000000
6900,1.000000
6912,6.000000
6936,13.000000
7011,1.000000
7043,1.000000
7142,7.000000
7291,1.000000
